trade_month,industry,ret,n_stocks
2019-10,801960.SI,-0.021634731977955735,44
2019-10,801970.SI,0.005974026631416995,74
2019-10,801980.SI,0.016579442664431232,16
2019-11,801010.SI,-0.08858221296161939,84
2019-11,801030.SI,0.006327183260550484,298
2019-11,801040.SI,0.02028904039845214,31
2019-11,801050.SI,0.016950994817884313,113
2019-11,801080.SI,0.04668199760653713,240
2019-11,801110.SI,-0.007719661700368863,58
2019-11,801120.SI,-0.027735405058787355,95
2019-11,801130.SI,-0.03380431368718073,80
2019-11,801140.SI,-0.006075565629603208,126
2019-11,801150.SI,-0.017318307340998707,300
2019-11,801160.SI,-0.005118579101105913,98
2019-11,801170.SI,-0.01748631019370306,116
2019-11,801180.SI,-0.010199127568102262,129
2019-11,801200.SI,-0.03899434439726668,95
2019-11,801210.SI,-0.04181130343062289,33
2019-11,801230.SI,-0.008350674793318857,35
2019-11,801710.SI,0.061146162261947135,66
2019-11,801720.SI,-0.014573199416422544,127
2019-11,801730.SI,0.017779181357268525,192
2019-11,801740.SI,-0.011809897869223152,66
2019-11,801750.SI,-0.02042818270249669,210
2019-11,801760.SI,0.0021241707600503368,168
2019-11,801770.SI,-0.03997864751547353,101
2019-11,801780.SI,-0.01452768024818063,34
2019-11,801790.SI,-0.03029589013598133,79
2019-11,801880.SI,0.01677860711968715,173
2019-11,801890.SI,-0.004232372547541274,324
2019-11,801950.SI,-0.019357098472325696,38
2019-11,801960.SI,-0.01647676464528902,44
2019-11,801970.SI,-0.028128596474376932,74
2019-11,801980.SI,-0.04707766969843419,16
2019-12,801010.SI,0.03235675584076114,84
2019-12,801030.SI,0.1198304602461373,301
2019-12,801040.SI,0.052887730985965,32
2019-12,801050.SI,0.156209744271671,113
2019-12,801080.SI,0.11669029963623956,242
2019-12,801110.SI,0.11186061714729534,58
2019-12,801120.SI,0.047625316433737463,95
2019-12,801130.SI,0.10141357353154734,80
2019-12,801140.SI,0.09112220324466302,127
2019-12,801150.SI,0.04415029346351629,300
2019-12,801160.SI,0.02490589253438147,99
2019-12,801170.SI,0.06961892102873013,116
2019-12,801180.SI,0.10823073113993953,130
2019-12,801200.SI,0.053603117058841354,95
2019-12,801210.SI,0.08924798750342133,33
2019-12,801230.SI,0.10836199282918124,35
2019-12,801710.SI,0.15571140331876787,67
2019-12,801720.SI,0.05594704481990065,127
2019-12,801730.SI,0.08560622479026803,192
2019-12,801740.SI,0.05467564827264404,67
2019-12,801750.SI,0.08606375406972844,211
2019-12,801760.SI,0.12995167158639354,168
2019-12,801770.SI,0.0846763862858988,101
2019-12,801780.SI,0.03119850586465045,36
2019-12,801790.SI,0.1079924692344012,79
2019-12,801880.SI,0.06903586257949845,174
2019-12,801890.SI,0.0932569121568354,325
2019-12,801950.SI,0.06171887320717229,38
2019-12,801960.SI,0.04432557817159499,44
2019-12,801970.SI,0.03585789369566905,75
2019-12,801980.SI,0.05994832862681654,16
2020-01,801010.SI,-0.03517157365490464,84
2020-01,801030.SI,0.006835634636555676,302
2020-01,801040.SI,-0.06039286007812961,32
2020-01,801050.SI,-0.009446008468937173,114
2020-01,801080.SI,0.16509193414301504,242
2020-01,801110.SI,-0.016696491377216738,59
2020-01,801120.SI,-0.059853551208538414,95
2020-01,801130.SI,-0.007218632020994709,80
2020-01,801140.SI,0.010344104623332795,127
2020-01,801150.SI,0.0542126594300818,300
2020-01,801160.SI,-0.051954886552476265,99
2020-01,801170.SI,-0.06059057432265891,117
2020-01,801180.SI,-0.06559089617907765,130
2020-01,801200.SI,-0.02556290991389243,95
2020-01,801210.SI,-0.08305241099721217,33
2020-01,801230.SI,0.020580018383066445,35
2020-01,801710.SI,-0.06420333550033308,67
2020-01,801720.SI,-0.033095799922006175,127
2020-01,801730.SI,0.05459989054020942,192
2020-01,801740.SI,0.025638281796381168,67
2020-01,801750.SI,0.08624545435520092,211
2020-01,801760.SI,0.03647115677840285,168
2020-01,801770.SI,0.01526557525036809,101
2020-01,801780.SI,-0.03947817801578524,36
2020-01,801790.SI,-0.04516439480880685,79
2020-01,801880.SI,0.01705171169203923,175
2020-01,801890.SI,-0.010291318813641093,328
2020-01,801950.SI,-0.057362226524228954,38
2020-01,801960.SI,-0.029663238513661483,44
2020-01,801970.SI,0.014040158841323702,76
2020-01,801980.SI,-0.006215714936024019,16
2020-02,801010.SI,0.10726375233131935,84
2020-02,801030.SI,0.03547463907867621,302
2020-02,801040.SI,-0.03790469527798468,32
2020-02,801050.SI,-0.009379797303296078,114
2020-02,801080.SI,0.0720110044397495,244
2020-02,801110.SI,-0.01821826293876827,59
2020-02,801120.SI,-0.019998446038262507,95
2020-02,801130.SI,0.03612294095160018,80
2020-02,801140.SI,-0.024275716685297266,128
2020-02,801150.SI,0.03532459620541806,300
2020-02,801160.SI,-0.04054002343540419,99
